time files tags foundfiles numtags
0.508194 73384 1210 0 4
0.278332 73693 1212 0 5
0.054021 76267 1219 0 2
0.169395 77004 1221 566 1
0.213308 77172 1223 1 2
0.705767 77260 1224 0 3
0.087228 81138 1230 277 1
0.290893 83151 1237 0 5
0.504006 83506 1238 0 3
0.477426 84235 1241 0 6
0.040635 84564 1243 0 7
0.451016 84971 1245 0 3
0.087559 85060 1246 0 6
0.229766 85646 1247 0 5
0.170039 87499 1252 593 1
0.1671 88323 1254 594 1
0.024336 88388 1255 0 11
0.218101 89382 1257 0 8
0.467389 90176 1262 0 8
0.014483 90948 1265 0 3
0.020708 91236 1266 0 5
0.483625 92815 1270 0 3
0.13644 92919 1271 634 1
0.174836 93349 1272 658 1
0.643652 93646 1274 0 8
0.16519 93915 1275 0 5
0.520376 96949 1284 0 3
0.217387 98255 1288 684 1
0.206639 98486 1289 0 3
0.095273 98989 1290 0 8
0.898236 99283 1292 7 2
0.007002 291 1002 0 9
0.006249 653 1004 0 2
0.018848 2545 1011 0 11
0.01205 3715 1013 26 1
0.033291 4323 1016 0 2
0.05001 4629 1017 0 3
0.037228 6514 1021 0 7
0.053746 7645 1025 0 3
0.065488 8120 1028 0 3
0.023284 9763 1030 74 1
0.017898 10424 1032 65 1
0.119405 11867 1037 0 3
0.063896 12639 1040 0 7
0.078723 12912 1042 0 3
0.022813 13702 1043 0 6
0.049164 17260 1053 129 1
0.144778 17783 1054 0 4
0.181522 18299 1057 0 2
0.162716 18762 1058 0 6
0.067096 18891 1059 0 7
0.100329 21813 1068 0 9
0.198011 22071 1069 0 4
0.148296 23351 1075 0 4
0.062908 26496 1083 193 1
0.187487 27043 1086 0 4
0.172571 27389 1088 0 4
0.051983 31283 1096 174 1
0.180196 31297 1097 3 2
0.185601 31608 1099 0 3
0.100417 32109 1101 276 1
0.202729 34889 1109 0 7
0.222625 35777 1113 0 2
0.229555 36196 1116 0 3
0.042945 37652 1118 138 1
0.07608 38321 1120 0 5
0.085021 40371 1126 322 1
0.434885 41559 1128 2 2
0.441544 42181 1130 2 2
0.058149 43525 1134 0 4
0.247827 45276 1138 0 5
0.159088 45298 1139 0 4
0.242513 46594 1140 0 4
0.244275 46859 1141 0 3
