time files tags numtags
0.314657 55251 1166 7 
0.099376 56318 1167 2 
0.190574 56890 1168 5 
0.24903 58534 1173 10 
0.140757 59776 1175 1 
0.226027 61937 1176 8 
0.269513 63382 1180 6 
0.29978 64616 1182 13 
0.240118 66084 1187 9 
0.155871 67031 1188 1 
0.189503 67105 1189 12 
0.210727 67501 1191 7 
0.283623 67979 1193 11 
0.19697 68836 1195 4 
0.116891 69813 1198 6 
0.209746 71403 1204 7 
0.177504 71495 1205 5 
0.243016 73384 1209 9 
0.157783 73693 1211 4 
0.218384 76267 1218 8 
0.273652 77004 1220 12 
0.191663 77172 1222 8 
0.160097 77260 1223 3 
0.134188 78481 1224 8 
0.245698 81034 1228 9 
0.216041 81138 1229 7 
0.21579 81858 1233 7 
0.291705 82096 1234 12 
0.195822 83151 1236 5 
0.192213 83506 1237 7 
0.194947 84235 1240 9 
0.253322 84564 1242 10 
0.197612 84849 1243 6 
0.275808 84971 1244 11 
0.256545 85060 1245 12 
0.217934 85646 1246 7 
0.189761 87499 1251 7 
0.220541 88323 1253 7 
0.1946 88388 1254 6 
0.27916 89382 1256 10 
0.244528 90176 1261 9 
0.26649 90948 1264 11 
0.215027 91236 1265 8 
0.163438 92815 1269 2 
0.245832 92919 1270 10 
0.138623 93349 1271 6 
0.182827 93646 1273 6 
0.230271 93915 1274 8 
0.231418 94537 1279 9 
0.259027 96529 1282 9 
0.232278 96949 1283 8 
0.228342 98255 1287 9 
0.145185 98486 1288 4 
0.210598 98989 1289 7 
0.218224 99283 1291 9 
0.212799 291 1001 14 
0.189008 653 1003 12 
0.126212 2285 1009 3 
0.283869 2545 1010 12 
0.222037 3715 1012 11 
0.149928 4323 1015 7 
0.236176 4629 1016 8 
0.127935 6514 1020 3 
0.207792 7645 1024 8 
0.13609 8085 1026 8 
0.137805 8120 1027 8 
0.216509 9763 1029 8 
0.1584 10424 1031 10 
0.284775 10830 1033 14 
0.295093 11867 1036 12 
0.099657 12639 1039 3 
0.13369 12912 1041 8 
0.102876 13702 1042 0 
0.26273 16259 1050 13 
0.18359 17260 1052 6 
0.151854 17783 1053 9 
0.182876 18113 1054 12 
