time files tags numfiles numtags
0.094896 31760 1409 462 1
0.006695 33543 1460 0 4
0.008913 33544 1460 0 4
0.008146 36272 1538 0 4
0.005962 42096 1705 0 5
0.003013 42529 1718 4 1
0.008876 42985 1731 30 1
0.11365 43102 1734 576 1
0.008645 44521 1775 0 7
0.008531 44662 1779 32 1
0.007542 45399 1800 0 7
0.034423 46468 1830 0 2
0.0051 47639 1864 0 3
0.003068 48088 1877 0 2
0.006461 48673 1893 0 4
0.004003 50282 1940 0 2
0.036412 50375 1942 1 2
0.00495 50980 1960 9 1
0.014529 54245 2053 57 1
0.017276 56029 2104 0 2
0.003765 57095 2135 0 2
0.011105 59365 2200 45 1
0.005119 60808 2241 0 3
0.006073 61320 2256 0 2
0.007502 64764 2355 0 3
0.013685 64930 2360 0 3
0.005231 69453 2489 0 4
0.01182 70689 2525 0 4
0.006161 70716 2525 18 1
0.008605 71196 2539 30 1
0.002064 72602 2579 1 1
0.008834 74597 2637 31 1
0.013088 77713 2726 0 2
0.022266 79173 2768 0 2
0.00494 81335 2830 9 1
0.003274 81942 2848 0 2
0.227834 84114 2910 1092 1
0.018236 84426 2919 0 4
0.006454 87641 3011 0 2
0.015721 88653 3040 0 4
0.024043 92041 3137 86 1
0.007715 95730 3243 0 4
0.009856 97834 3303 0 5
0.030566 98756 3330 0 2
0.009223 101526 3409 0 2
0.005145 101802 3417 13 1
0.020618 103297 3460 0 2
0.008267 104578 3497 26 1
0.075685 104822 3504 0 3
0.004002 106566 3554 0 2
0.002134 108758 3617 2 1
0.006584 109164 3629 17 1
0.008496 109400 3636 0 6
0.017892 109657 3643 0 3
0.007777 109866 3649 24 1
0.007601 111163 3686 0 7
0.018337 111515 3697 0 2
0.001034 111713 3702 0 1
0.018187 116708 3846 0 3
0.049343 116942 3853 0 3
0.005453 117448 3867 0 3
0.002401 120577 3957 1 1
0.00623 120662 3960 0 2
0.007399 121746 3991 20 1
0.011176 122909 4024 36 1
0.004855 124638 4074 0 3
0.011562 127939 4169 43 1
0.358508 128024 4172 1533 1
0.011744 128364 4181 0 3
0.003 133185 4320 3 1
0.005502 134482 4358 0 2
0.01785 135502 4387 0 8
0.004092 137363 4441 6 1
0.009802 145680 4680 0 7
0.018225 147768 4741 76 1
0.030825 150623 4823 133 1
0.009581 153261 4899 0 5
0.021589 154970 4948 72 1
0.023593 162327 5001 0 4
0.007371 165491 5001 22 1
0.028644 168470 5001 0 2
0.019206 168573 5001 0 2
0.010601 170002 5001 0 10
0.013614 170382 5001 0 11
0.006262 170778 5001 10 1
0.010877 172759 5001 1 2
0.011709 175762 5001 0 3
0.009294 176555 5001 27 1
0.008609 178358 5001 0 6
0.027724 178387 5001 111 1
0.013396 180688 5001 0 3
0.006778 181432 5001 13 1
0.013492 181638 5001 0 2
0.01154 184456 5001 38 1
0.010387 184974 5001 0 8
0.004986 186931 5001 10 1
0.024604 191059 5001 0 2
0.016566 192571 5001 0 2
0.02106 193154 5001 1 2
0.026847 195158 5001 0 3
0.035585 196770 5001 0 3
0.032862 198400 5001 0 3
0.022966 198459 5001 0 5
0.005727 198812 5001 11 1
0.023034 199003 5001 0 5
0.007011 200422 5001 18 1
0.009462 201675 5001 30 1
0.00705 203631 5001 18 1
0.012193 205902 5001 0 9
0.004764 208967 5001 9 1
0.007811 211290 5001 14 1
0.003782 219362 5001 6 1
0.019742 220831 5001 75 1
0.018361 221867 5001 0 2
0.022478 223668 5001 0 6
0.026302 224306 5001 107 1
0.023066 224371 5001 0 8
0.016431 227898 5001 0 3
0.024647 231805 5001 97 1
0.014052 231834 5001 50 1
0.01601 231846 5001 0 5
0.00449 233334 5001 9 1
0.597147 234482 5001 2680 1
0.023387 235223 5001 0 2
0.014069 237641 5001 0 2
0.01322 238947 5001 0 6
0.032359 243051 5001 0 4
0.006601 244125 5001 17 1
0.72081 244313 5001 2830 1
0.010159 245011 5001 31 1
0.024317 247442 5001 0 6
0.01867 248898 5001 0 2
0.581441 248932 5001 2805 1
0.046427 249147 5001 0 4
0.022734 253601 5001 0 2
0.01384 257175 5001 0 4
0.027835 258854 5001 119 1
0.014419 261133 5001 0 10
0.074058 261515 5001 0 3
0.008516 261789 5001 25 1
0.02306 263037 5001 96 1
0.019874 263435 5001 0 5
0.009939 265955 5001 30 1
0.026091 270962 5001 0 2
0.015658 271720 5001 57 1
0.007764 271841 5001 21 1
0.028077 272715 5001 0 2
0.01329 274614 5001 45 1
0.006574 278139 5001 13 1
0.033274 281867 5001 0 3
0.012633 285176 5001 42 1
0.016393 288864 5001 0 2
0.017954 289383 5001 0 2
0.010457 289835 5001 32 1
0.018629 291990 5001 69 1
0.085273 293102 5001 0 2
0.024688 293704 5001 0 13
0.029288 294966 5001 0 3
0.001201 992 530 0 1
0.004356 2062 560 0 4
0.004299 2501 573 0 5
0.004324 3310 596 0 3
0.008686 6553 689 0 10
0.005782 7092 704 0 4
0.00379 7227 708 0 2
0.007316 7391 713 0 9
0.008243 8391 741 0 5
0.003706 12080 847 0 2
0.00494 12451 857 9 1
0.002387 14244 908 1 1
0.007142 17331 997 20 1
0.007982 17577 1004 22 1
0.004222 21526 1117 9 1
0.004855 22853 1155 0 3
0.007663 23296 1167 0 9
0.003374 26354 1255 5 1
0.009115 28833 1325 35 1
0.00314 32204 1422 5 1
0.015012 33199 1450 0 2
0.005155 33329 1454 0 2
0.00563 34028 1474 17 1
0.019945 34122 1477 0 2
0.001802 36234 1537 2 1
0.104493 36269 1538 543 1
0.001822 36619 1548 1 1
0.344483 37381 1570 13 2
0.009406 37409 1571 0 2
0.009033 38297 1596 36 1
0.011862 38416 1599 0 2
0.004651 39556 1632 10 1
0.122427 39664 1635 565 1
0.004299 40464 1658 0 3
0.004338 40777 1667 0 3
0.013122 41444 1686 0 3
0.00487 44888 1785 0 2
0.006301 45422 1800 19 1
0.00696 47134 1849 21 1
0.008673 51309 1969 29 1
0.009303 51730 1981 39 1
0.003922 52091 1991 8 1
0.009176 55860 2099 0 3
0.001892 58283 2168 1 1
0.005456 59814 2212 0 4
0.010096 61948 2273 37 1
0.007425 64955 2360 0 5
0.023269 65922 2387 0 2
0.004875 69036 2476 14 1
0.00596 69431 2488 0 5
0.006684 69595 2492 0 3
0.007752 75188 2653 0 6
0.020899 83527 2892 86 1
0.010144 85008 2935 30 1
0.004564 85454 2947 10 1
0.008208 87417 3004 26 1
0.041946 87767 3014 0 4
0.006233 89412 3061 0 2
0.005102 91358 3117 0 3
0.004311 92810 3159 0 3
0.00957 93305 3173 0 9
0.012507 95956 3249 0 2
0.006332 97487 3293 10 1
0.008818 98687 3328 0 9
0.01032 100167 3370 0 6
0.036695 101910 3421 0 5
0.024071 102029 3424 81 1
0.026338 102507 3438 0 2
0.007617 104207 3487 25 1
0.007447 108223 3602 0 2
0.010642 109029 3625 0 5
0.030395 109536 3640 0 3
0.021332 109746 3646 0 2
0.007898 111846 3706 23 1
0.018604 113210 3745 72 1
0.016733 116370 3836 71 1
0.008284 117904 3880 0 9
0.005087 120814 3964 0 2
0.010136 121374 3980 0 2
0.002947 122751 4020 3 1
0.018977 123870 4052 0 3
0.004197 124826 4080 0 3
0.00434 125159 4089 7 1
0.004057 125471 4098 5 1
0.007163 125902 4111 0 2
0.006801 126532 4129 19 1
0.009175 127194 4148 31 1
0.006092 127480 4156 0 2
0.005859 133160 4320 0 7
0.005966 138091 4462 0 2
0.004682 140220 4523 0 2
0.007335 140937 4544 0 7
0.004802 152046 4864 0 2
0.007004 155923 4976 0 2
0.027057 156282 4987 0 2
0.011513 160288 5001 0 2
0.003163 160521 5001 4 1
0.00466 163926 5001 8 1
0.003297 164404 5001 4 1
0.006246 168650 5001 0 2
0.011235 170239 5001 45 1
0.004196 173286 5001 6 1
0.020136 175505 5001 76 1
0.096465 175527 5001 0 2
0.011516 176048 5001 0 2
0.012638 176520 5001 0 3
0.002854 176691 5001 4 1
0.041381 176715 5001 0 2
0.004303 177685 5001 9 1
0.008444 180833 5001 0 4
0.0102 186099 5001 0 3
0.010873 187955 5001 0 9
0.019085 189225 5001 0 2
0.022941 192892 5001 93 1
0.017681 195463 5001 0 2
0.013563 196449 5001 0 5
0.009007 196842 5001 0 6
0.011277 197791 5001 0 3
0.00909 199248 5001 30 1
0.029471 200195 5001 114 1
0.011879 201429 5001 0 2
0.01628 203551 5001 0 2
0.004902 203912 5001 9 1
0.017118 204480 5001 0 3
0.028216 204669 5001 0 3
0.028711 205558 5001 112 1
0.059728 206266 5001 0 3
0.010093 207069 5001 0 5
0.0108 210119 5001 0 5
0.006981 211392 5001 17 1
0.00997 212468 5001 30 1
0.006851 212638 5001 14 1
0.011606 214974 5001 0 3
0.015648 216424 5001 0 2
0.00837 216559 5001 0 3
0.019497 218883 5001 0 7
0.013694 219193 5001 0 6
0.01068 220109 5001 0 6
0.023255 222448 5001 0 2
0.005426 223649 5001 11 1
0.016295 223839 5001 61 1
0.028381 229378 5001 120 1
0.010836 230429 5001 0 2
0.022797 233831 5001 0 2
0.033704 234313 5001 0 2
0.12537 236369 5001 0 2
0.01483 237839 5001 52 1
0.014704 250138 5001 52 1
0.052369 251152 5001 219 1
0.025151 251751 5001 0 3
0.033545 251974 5001 0 2
0.014218 252979 5001 0 3
0.012736 253990 5001 46 1
0.01427 257434 5001 0 4
0.029281 257593 5001 0 3
0.014313 257926 5001 0 9
0.050896 258885 5001 0 4
0.021219 260052 5001 85 1
0.007887 262937 5001 26 1
0.01853 263640 5001 0 5
0.034958 265991 5001 0 2
0.008355 267557 5001 21 1
0.024575 271268 5001 0 3
